tweets,target
our deeds are the reason of this #earthquake may allah forgive us all,1
forest fire near la ronge sask. canada,1
all residents asked to 'shelter in place' are being notified by officers. no other evacuation or shelter in place orders are expected,1
"13,000 people receive #wildfires evacuation orders in california ",1
just got sent this photo from ruby #alaska as smoke from #wildfires pours into a school ,1
#rockyfire update => california hwy. 20 closed in both directions due to lake county fire - #cafire #wildfires,1
"#flood #disaster heavy rain causes flash flooding of streets in manitou, colorado springs areas",1
i'm on top of the hill and i can see a fire in the woods...,1
there's an emergency evacuation happening now in the building across the street,1
i'm afraid that the tornado is coming to our area...,1
three people died from the heat wave so far,1
haha south tampa is getting flooded hah- wait a second i live in south tampa what am i gonna do what am i gonna do fvck #flooding,1
#raining #flooding #florida #tampabay #tampa 18 or 19 days. i've lost count ,1
#flood in bago myanmar #we arrived bago,1
damage to school bus on 80 in multi car crash #breaking ,1
what's up man?,0
i love fruits,0
summer is lovely,0
my car is so fast,0
what a goooooooaaaaaal!!!!!!,0
this is ridiculous....,0
london is cool ;),0
love skiing,0
what a wonderful day!,0
looooool,0
no way...i can't eat that shit,0
was in nyc last week!,0
love my girlfriend,0
cooool :),0
do you like pasta?,0
the end!,0
@bbcmtd wholesale markets ablaze http://t.co/lhyxeohy6c,1
we always try to bring the heavy. #metal #rt http://t.co/yao1e0xngw,0
#africanbaze: breaking news:nigeria flag set ablaze in aba. http://t.co/2nndbgwyei,1
crying out for more! set me ablaze,0
on plus side look at the sky last night it was ablaze http://t.co/qqsmshaj3n,0
@phdsquares #mufc they've built so much hype around new acquisitions but i doubt they will set the epl ablaze this season.,0
inec office in abia set ablaze - http://t.co/3imaomknna,1
barbados #bridgetown jamaica â‰ã›ã’ two cars set ablaze: santa cruz â‰ã›ã“ head of the st elizabeth police superintende...  http://t.co/wdueaj8q4j,1
ablaze for you lord :d,0
check these out: http://t.co/roi2nsmejj http://t.co/3tj8zjin21 http://t.co/yduixefipe http://t.co/lxtjc87kls #nsfw,0
"on the outside you're ablaze and alive
but you're dead inside",0
had an awesome time visiting the cfc head office the ancop site and ablaze. thanks to tita vida for taking care of us ??,0
soooo pumped for ablaze ???? @southridgelife,0
i wanted to set chicago ablaze with my preaching... but not my hotel! http://t.co/o9qknbfofx,0
i gained 3 followers in the last week. you? know your stats and grow with http://t.co/tiyulif5c6,0
how the west was burned: thousands of wildfires ablaze in california alone http://t.co/vl5tbr3wbr,1
building the perfect tracklist to life leave the streets ablaze,0
check these out: http://t.co/roi2nsmejj http://t.co/3tj8zjin21 http://t.co/yduixefipe http://t.co/lxtjc87kls #nsfw,0
first night with retainers in. it's quite weird. better get used to it; i have to wear them every single night for the next year at least.,0
deputies: man shot before brighton home set ablaze http://t.co/gwnrhmso8k,1
"man wife get six years jail for setting ablaze niece
http://t.co/ev1ahoucza",1
santa cruz â‰ã›ã“ head of the st elizabeth police superintendent lanford salmon has r ... - http://t.co/vplr5hka2u http://t.co/sxhw2tnnlf,0
police: arsonist deliberately set black church in north carolinaã¥ãšablaze http://t.co/pcxarbh9an,1
noches el-bestia '@alexis_sanchez: happy to see my teammates and training hard ?? goodnight gunners.?????? http://t.co/uc4j4jhvgr',0
#kurds trampling on turkmen flag later set it ablaze while others vandalized offices of turkmen front in #diyala http://t.co/4izfdyc3cg,1
truck ablaze : r21. voortrekker ave. outside or tambo intl. cargo section. http://t.co/8kscqkfkkf,1
set our hearts ablaze and every city was a gift and every skyline was like a kiss upon the lips @â‰ã›_ https://t.co/cyompz1a0z,0
they sky was ablaze tonight in los angeles. i'm expecting ig and fb to be filled with sunset shots if i know my peeps!!,0
how the west was burned: thousands of wildfires ablaze in #california alone http://t.co/icsjgz9te1 #climate #energy http://t.co/9fxmn0l0bd,1
revel in yours wmv videos by means of mac farewell ablaze wmv en route to dvd: gtxrwm,0
"progressive greetings!

in about a month students would have set their pens ablaze in the torch publications'... http://t.co/9fxpixqujt",0
rene ablaze &amp; jacinta - secret 2k13 (fallen skies edit) - mar 30 2013  https://t.co/7mlmsuzv1z,0
@navista7 steve these fires out here are something else! california is a tinderbox - and this clown was setting my 'hood ablaze @news24680,1
#nowplaying: rene ablaze &amp; ian buff - magnitude http://t.co/av2jsjfftc  #edm,0
@nxwestmidlands huge fire at wholesale markets ablaze http://t.co/rwzbfvnxer,1
@ablaze what time does your talk go until? i don't know if i can make it due to work.,0
'i can't have kids cuz i got in a bicycle accident &amp; split my testicles. it's impossible for me to have kids' michael you are the father,0
accident on i-24 w #nashvilletraffic. traffic moving 8m slower than usual. https://t.co/0ghk693egj,1
accident center lane blocked in #santaclara on us-101 nb before great america pkwy #bayarea #traffic http://t.co/pmlohzurwr,1
http://t.co/gkye6gjtk5 had a #personalinjury accident this summer? read our advice &amp; see how a #solicitor can help #otleyhour,0
#stlouis #caraccidentlawyer speeding among top causes of teen accidents https://t.co/k4zomof319 https://t.co/s2kxvm0cba car accident teeâ‰ã›_,0
reported motor vehicle accident in curry on herman rd near stephenson involving an overturned vehicle. please use... http://t.co/ybjezkurw1,1
bigrigradio live accident awareness,1
i-77 mile marker 31 south mooresville  iredell vehicle accident ramp closed at 8/6 1:18 pm,1
rt @sleepjunkies: sleeping pills double your risk of a car accident http://t.co/7s9nm1fict,0
'by accident' they knew what was gon happen https://t.co/ysxun5vceh,0
traffic accident n cabrillo hwy/magellan av mir (08/06/15 11:03:58),1
i-77 mile marker 31 to 40 south mooresville  iredell vehicle accident congestion at 8/6 1:18 pm,1
the pastor was not in the scene of the accident......who was the owner of the range rover ?,1
"mom: 'we didn't get home as fast as we wished' 
me: 'why is that?'
mom: 'there was an accident and some truck spilt mayonnaise all over ??????",0
i was in a horrible car accident this past sunday. i'm finally able to get around. thank you god??,1
can wait to see how pissed donnie is when i tell him i was in another accident??,0
#truckcrash overturns on #fortworth interstate http://t.co/rs22lj4qfp click here if you've been in a crash&gt;http://t.co/ld0uniyw4k,1
accident in #ashville on us 23 sb before sr 752 #traffic http://t.co/hylmo0wgfi,1
carolina accident: motorcyclist dies in i-540 crash with car that crossed median: a motorcycle rider traveling... http://t.co/p18lzrlmy6,1
fyi cad:fyi: ;accident property damage;nhs;999 piner rd/horndale dr,1
rt naayf: first accident in years. turning onto chandanee magu from near mma. taxi rammed into me while i was halfway turned. everyone confâ‰ã›_,1
accident left lane blocked in #manchester on rt 293 nb before eddy rd stop and go traffic back to nh-3a delay of 4 mins #traffic,1
;accident property damage; piner rd/horndale dr,1
???? it was an accident http://t.co/oia5fxi4gm,0
fyi cad:fyi: ;accident property damage;wpd;1600 s 17th st,1
8/6/2015@2:09 pm: traffic accident no injury at 2781 willis foreman rd http://t.co/vckit6edev,1
aashiqui actress anu aggarwal on her near-fatal accident http://t.co/6otfp31lqw,1
suffield alberta accident https://t.co/bptmlf4p10,1
9 mile backup on i-77 south...accident blocking the right 2 lanes at exit 31 langtree rd...consider nc 115 or nc 150 to nc 16 as alternate,1
